source_sheet,source_row_id,project_scope,language,source_layer,code_family,code,label_en,label_cn,keyword_original,keyword_translation_or_note,current_pipeline_status,reviewer,review_decision,keyword_final,notes,reviewed_at
Chinese,2,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,transport_access,Transport / Access,交通/無障礙設施,交通不便,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,No change,交通不便,,2026-06-18
Chinese,3,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,transport_access,Transport / Access,交通/無障礙設施,不方便,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,No change,不方便,,2026-06-18
Chinese,4,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,transport_access,Transport / Access,交通/無障礙設施,公交,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,No change,公交,,2026-06-18
Chinese,5,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,transport_access,Transport / Access,交通/無障礙設施,巴士,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,No change,巴士,,2026-06-18
Chinese,6,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,transport_access,Transport / Access,交通/無障礙設施,班次少,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,No change,班次少,,2026-06-18
Chinese,7,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,transport_access,Transport / Access,交通/無障礙設施,车次少,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,No change,车次少,,2026-06-18
Chinese,8,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,transport_access,Transport / Access,交通/無障礙設施,火车少,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,No change,火车少,,2026-06-18
Chinese,9,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,transport_access,Transport / Access,交通/無障礙設施,电车少,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,No change,电车少,,2026-06-18
Chinese,10,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,transport_access,Transport / Access,交通/無障礙設施,出租车少,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,No change,出租车少,,2026-06-18
Chinese,11,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,transport_access,Transport / Access,交通/無障礙設施,打车难,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,No change,打车难,,2026-06-18
Chinese,12,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,transport_access,Transport / Access,交通/無障礙設施,远,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,No change,远,,2026-06-18
Chinese,13,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,transport_access,Transport / Access,交通/無障礙設施,难去,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,No change,难去,,2026-06-18
Chinese,14,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,transport_access,Transport / Access,交通/無障礙設施,不好去,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,No change,不好去,,2026-06-18
Chinese,15,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,transport_access,Transport / Access,交通/無障礙設施,转车,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,No change,转车,,2026-06-18
Chinese,16,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,transport_access,Transport / Access,交通/無障礙設施,换乘,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,No change,换乘,,2026-06-18
Chinese,17,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,transport_access,Transport / Access,交通/無障礙設施,停车,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,No change,停车,,2026-06-18
Chinese,18,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,transport_access,Transport / Access,交通/無障礙設施,自驾,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,No change,自驾,,2026-06-18
