evidence_family,code,label,count,denominator_posts,pct_posts
topic,history_culture,History / Culture,116,1670,6.946
topic,temples_spiritual,Temples / Spiritual,98,1670,5.868
topic,scenic_nature,Scenic Nature,85,1670,5.09
topic,fan_pilgrimage_pop_culture,Fan Pilgrimage / Pop Culture,72,1670,4.311
topic,hot_springs_relaxation,Hot Springs / Relaxation,65,1670,3.892
topic,food_local_cuisine,Food / Local Cuisine,52,1670,3.114
topic,dinosaurs_museums,Dinosaurs / Museums,44,1670,2.635
topic,crafts_shopping,Crafts / Shopping,40,1670,2.395
topic,accommodation,Accommodation,37,1670,2.216
topic,seasonal_events,Seasonal Events,31,1670,1.856
