snownlp_sentiment_category,reviewed_sentiment_group,keyword,count
negative,positive_sentiment,好,58
negative,negative_sentiment,差,12
negative,positive_sentiment,推荐,9
negative,recommendation_intent,推荐,9
negative,positive_sentiment,美,9
negative,positive_sentiment,喜欢,5
negative,positive_sentiment,好吃,5
negative,negative_sentiment,一般,3
negative,negative_sentiment,坑,3
negative,negative_sentiment,关门,2
negative,positive_sentiment,很好,2
negative,negative_sentiment,贵,2
negative,negative_sentiment,人多,1
negative,positive_sentiment,值得,1
negative,positive_sentiment,干净,1
negative,negative_sentiment,拥挤,1
negative,positive_sentiment,新鲜,1
negative,negative_sentiment,无聊,1
negative,positive_sentiment,治愈,1
negative,positive_sentiment,满意,1
negative,positive_sentiment,舒服,1
negative,negative_sentiment,踩雷,1
neutral,positive_sentiment,好,8
neutral,recommendation_intent,一定要去,1
neutral,negative_sentiment,人多,1
neutral,positive_sentiment,值得,1
neutral,negative_sentiment,坑,1
neutral,positive_sentiment,新鲜,1
neutral,positive_sentiment,美,1
positive,positive_sentiment,好,389
positive,positive_sentiment,美,145
positive,positive_sentiment,喜欢,58
positive,positive_sentiment,推荐,36
positive,recommendation_intent,推荐,36
positive,positive_sentiment,很好,33
positive,recommendation_intent,一定要去,30
positive,positive_sentiment,治愈,26
positive,positive_sentiment,好吃,24
positive,positive_sentiment,值得,19
positive,positive_sentiment,舒服,15
positive,negative_sentiment,贵,15
positive,positive_sentiment,惊喜,12
positive,negative_sentiment,差,11
positive,positive_sentiment,干净,11
positive,positive_sentiment,震撼,8
positive,negative_sentiment,一般,6
positive,positive_sentiment,新鲜,6
positive,recommendation_intent,值得去,4
positive,negative_sentiment,不方便,3
positive,negative_sentiment,关门,2
positive,negative_sentiment,失望,2
positive,recommendation_intent,必去,2
positive,negative_sentiment,无聊,2
positive,positive_sentiment,超棒,2
positive,recommendation_intent,值得一看,1
positive,negative_sentiment,坑,1
positive,negative_sentiment,拥挤,1
positive,positive_sentiment,满意,1
positive,negative_sentiment,踩雷,1
positive,recommendation_intent,还会再来,1
