sentiment_group,source_platform,keyword,count,pct_all_rows
positive_sentiment,all,好,455,27.246
positive_sentiment,douyin,好,361,21.617
positive_sentiment,all,美,155,9.281
positive_sentiment,xiaohongshu,好,94,5.629
positive_sentiment,douyin,美,92,5.509
positive_sentiment,all,喜欢,63,3.772
positive_sentiment,xiaohongshu,美,63,3.772
positive_sentiment,all,推荐,45,2.695
recommendation_intent,all,推荐,45,2.695
positive_sentiment,douyin,喜欢,41,2.455
positive_sentiment,xiaohongshu,推荐,37,2.216
recommendation_intent,xiaohongshu,推荐,37,2.216
positive_sentiment,all,很好,35,2.096
recommendation_intent,all,一定要去,31,1.856
positive_sentiment,all,好吃,29,1.737
recommendation_intent,douyin,一定要去,29,1.737
positive_sentiment,all,治愈,27,1.617
negative_sentiment,all,差,23,1.377
positive_sentiment,xiaohongshu,喜欢,22,1.317
positive_sentiment,all,值得,21,1.257
positive_sentiment,xiaohongshu,好吃,21,1.257
positive_sentiment,douyin,治愈,19,1.138
positive_sentiment,douyin,很好,18,1.078
negative_sentiment,all,贵,17,1.018
positive_sentiment,xiaohongshu,很好,17,1.018
positive_sentiment,all,舒服,16,0.958
negative_sentiment,douyin,差,13,0.778
negative_sentiment,xiaohongshu,贵,13,0.778
positive_sentiment,all,干净,12,0.719
positive_sentiment,all,惊喜,12,0.719
positive_sentiment,douyin,舒服,12,0.719
positive_sentiment,xiaohongshu,值得,11,0.659
negative_sentiment,xiaohongshu,差,10,0.599
positive_sentiment,douyin,值得,10,0.599
negative_sentiment,xiaohongshu,一般,9,0.539
negative_sentiment,all,一般,9,0.539
positive_sentiment,douyin,好吃,8,0.479
positive_sentiment,douyin,惊喜,8,0.479
positive_sentiment,douyin,推荐,8,0.479
positive_sentiment,all,新鲜,8,0.479
positive_sentiment,xiaohongshu,治愈,8,0.479
positive_sentiment,all,震撼,8,0.479
recommendation_intent,douyin,推荐,8,0.479
positive_sentiment,douyin,干净,6,0.359
positive_sentiment,xiaohongshu,干净,6,0.359
positive_sentiment,xiaohongshu,震撼,6,0.359
negative_sentiment,douyin,坑,5,0.299
negative_sentiment,all,坑,5,0.299
positive_sentiment,douyin,新鲜,5,0.299
negative_sentiment,xiaohongshu,关门,4,0.24
negative_sentiment,all,关门,4,0.24
negative_sentiment,douyin,贵,4,0.24
positive_sentiment,xiaohongshu,惊喜,4,0.24
positive_sentiment,xiaohongshu,舒服,4,0.24
recommendation_intent,all,值得去,4,0.24
negative_sentiment,xiaohongshu,不方便,3,0.18
negative_sentiment,all,不方便,3,0.18
negative_sentiment,all,无聊,3,0.18
positive_sentiment,xiaohongshu,新鲜,3,0.18
negative_sentiment,xiaohongshu,人多,2,0.12
negative_sentiment,all,人多,2,0.12
negative_sentiment,xiaohongshu,失望,2,0.12
negative_sentiment,all,失望,2,0.12
negative_sentiment,douyin,拥挤,2,0.12
negative_sentiment,all,拥挤,2,0.12
negative_sentiment,xiaohongshu,无聊,2,0.12
negative_sentiment,xiaohongshu,踩雷,2,0.12
negative_sentiment,all,踩雷,2,0.12
positive_sentiment,xiaohongshu,满意,2,0.12
positive_sentiment,all,满意,2,0.12
positive_sentiment,douyin,超棒,2,0.12
positive_sentiment,all,超棒,2,0.12
positive_sentiment,douyin,震撼,2,0.12
recommendation_intent,xiaohongshu,一定要去,2,0.12
recommendation_intent,douyin,值得去,2,0.12
recommendation_intent,xiaohongshu,值得去,2,0.12
recommendation_intent,xiaohongshu,必去,2,0.12
recommendation_intent,all,必去,2,0.12
negative_sentiment,douyin,无聊,1,0.06
recommendation_intent,xiaohongshu,值得一看,1,0.06
recommendation_intent,all,值得一看,1,0.06
recommendation_intent,xiaohongshu,还会再来,1,0.06
recommendation_intent,all,还会再来,1,0.06
