project_scope,language,source_layer,code_family,code,label_en,keyword,keyword_translation_or_note,current_pipeline_status,reviewer,review_decision,suggested_replacement,notes
cross_language_tourism_side_project,Japanese,Google reviews / official survey text,friction,transport_access,Transport / Access,アクセスが悪,Existing Japanese mirrored friction keyword,currently_used_for_japanese_friction,,,,
cross_language_tourism_side_project,Japanese,Google reviews / official survey text,friction,transport_access,Transport / Access,交通の便が悪,Existing Japanese mirrored friction keyword,currently_used_for_japanese_friction,,,,
cross_language_tourism_side_project,Japanese,Google reviews / official survey text,friction,transport_access,Transport / Access,交通が不便,Existing Japanese mirrored friction keyword,currently_used_for_japanese_friction,,,,
cross_language_tourism_side_project,Japanese,Google reviews / official survey text,friction,transport_access,Transport / Access,公共交通,Existing Japanese mirrored friction keyword,currently_used_for_japanese_friction,,,,
cross_language_tourism_side_project,Japanese,Google reviews / official survey text,friction,transport_access,Transport / Access,バスが少な,Existing Japanese mirrored friction keyword,currently_used_for_japanese_friction,,,,
cross_language_tourism_side_project,Japanese,Google reviews / official survey text,friction,transport_access,Transport / Access,バスの本数,Existing Japanese mirrored friction keyword,currently_used_for_japanese_friction,,,,
cross_language_tourism_side_project,Japanese,Google reviews / official survey text,friction,transport_access,Transport / Access,電車が少な,Existing Japanese mirrored friction keyword,currently_used_for_japanese_friction,,,,
cross_language_tourism_side_project,Japanese,Google reviews / official survey text,friction,transport_access,Transport / Access,便が少な,Existing Japanese mirrored friction keyword,currently_used_for_japanese_friction,,,,
cross_language_tourism_side_project,Japanese,Google reviews / official survey text,friction,transport_access,Transport / Access,本数が少な,Existing Japanese mirrored friction keyword,currently_used_for_japanese_friction,,,,
cross_language_tourism_side_project,Japanese,Google reviews / official survey text,friction,transport_access,Transport / Access,乗り継ぎ,Existing Japanese mirrored friction keyword,currently_used_for_japanese_friction,,,,
cross_language_tourism_side_project,Japanese,Google reviews / official survey text,friction,transport_access,Transport / Access,遠い,Existing Japanese mirrored friction keyword,currently_used_for_japanese_friction,,,,
cross_language_tourism_side_project,Japanese,Google reviews / official survey text,friction,transport_access,Transport / Access,行きにく,Existing Japanese mirrored friction keyword,currently_used_for_japanese_friction,,,,
cross_language_tourism_side_project,Japanese,Google reviews / official survey text,friction,transport_access,Transport / Access,車がない,Existing Japanese mirrored friction keyword,currently_used_for_japanese_friction,,,,
cross_language_tourism_side_project,Japanese,Google reviews / official survey text,friction,transport_access,Transport / Access,車でないと,Existing Japanese mirrored friction keyword,currently_used_for_japanese_friction,,,,
cross_language_tourism_side_project,Japanese,Google reviews / official survey text,friction,transport_access,Transport / Access,駅から遠,Existing Japanese mirrored friction keyword,currently_used_for_japanese_friction,,,,
cross_language_tourism_side_project,Japanese,Google reviews / official survey text,friction,transport_access,Transport / Access,移動が大変,Existing Japanese mirrored friction keyword,currently_used_for_japanese_friction,,,,
cross_language_tourism_side_project,Japanese,Google reviews / official survey text,friction,transport_access,Transport / Access,タクシーが少な,Existing Japanese mirrored friction keyword,currently_used_for_japanese_friction,,,,
cross_language_tourism_side_project,Japanese,Google reviews / official survey text,friction,transport_access,Transport / Access,タクシーがつかまら,Existing Japanese mirrored friction keyword,currently_used_for_japanese_friction,,,,
cross_language_tourism_side_project,Japanese,Google reviews / official survey text,friction,transport_access,Transport / Access,タクシー待ち,Existing Japanese mirrored friction keyword,currently_used_for_japanese_friction,,,,
cross_language_tourism_side_project,Japanese,Google reviews / official survey text,friction,wayfinding_signage,Wayfinding / Signage,案内がわかりにく,Existing Japanese mirrored friction keyword,currently_used_for_japanese_friction,,,,
cross_language_tourism_side_project,Japanese,Google reviews / official survey text,friction,wayfinding_signage,Wayfinding / Signage,案内表示,Existing Japanese mirrored friction keyword,currently_used_for_japanese_friction,,,,
cross_language_tourism_side_project,Japanese,Google reviews / official survey text,friction,wayfinding_signage,Wayfinding / Signage,表示がわかりにく,Existing Japanese mirrored friction keyword,currently_used_for_japanese_friction,,,,
cross_language_tourism_side_project,Japanese,Google reviews / official survey text,friction,wayfinding_signage,Wayfinding / Signage,看板,Existing Japanese mirrored friction keyword,currently_used_for_japanese_friction,,,,
cross_language_tourism_side_project,Japanese,Google reviews / official survey text,friction,wayfinding_signage,Wayfinding / Signage,標識,Existing Japanese mirrored friction keyword,currently_used_for_japanese_friction,,,,
cross_language_tourism_side_project,Japanese,Google reviews / official survey text,friction,wayfinding_signage,Wayfinding / Signage,道案内,Existing Japanese mirrored friction keyword,currently_used_for_japanese_friction,,,,
cross_language_tourism_side_project,Japanese,Google reviews / official survey text,friction,wayfinding_signage,Wayfinding / Signage,道がわかりにく,Existing Japanese mirrored friction keyword,currently_used_for_japanese_friction,,,,
cross_language_tourism_side_project,Japanese,Google reviews / official survey text,friction,wayfinding_signage,Wayfinding / Signage,迷った,Existing Japanese mirrored friction keyword,currently_used_for_japanese_friction,,,,
cross_language_tourism_side_project,Japanese,Google reviews / official survey text,friction,wayfinding_signage,Wayfinding / Signage,場所がわかりにく,Existing Japanese mirrored friction keyword,currently_used_for_japanese_friction,,,,
cross_language_tourism_side_project,Japanese,Google reviews / official survey text,friction,wayfinding_signage,Wayfinding / Signage,入口がわかりにく,Existing Japanese mirrored friction keyword,currently_used_for_japanese_friction,,,,
cross_language_tourism_side_project,Japanese,Google reviews / official survey text,friction,wayfinding_signage,Wayfinding / Signage,地図,Existing Japanese mirrored friction keyword,currently_used_for_japanese_friction,,,,
cross_language_tourism_side_project,Japanese,Google reviews / official survey text,friction,language_information_gap,Language Information Gap,英語,Existing Japanese mirrored friction keyword,currently_used_for_japanese_friction,,,,
cross_language_tourism_side_project,Japanese,Google reviews / official survey text,friction,language_information_gap,Language Information Gap,外国語,Existing Japanese mirrored friction keyword,currently_used_for_japanese_friction,,,,
cross_language_tourism_side_project,Japanese,Google reviews / official survey text,friction,language_information_gap,Language Information Gap,多言語,Existing Japanese mirrored friction keyword,currently_used_for_japanese_friction,,,,
cross_language_tourism_side_project,Japanese,Google reviews / official survey text,friction,language_information_gap,Language Information Gap,翻訳,Existing Japanese mirrored friction keyword,currently_used_for_japanese_friction,,,,
cross_language_tourism_side_project,Japanese,Google reviews / official survey text,friction,language_information_gap,Language Information Gap,インバウンド,Existing Japanese mirrored friction keyword,currently_used_for_japanese_friction,,,,
cross_language_tourism_side_project,Japanese,Google reviews / official survey text,friction,language_information_gap,Language Information Gap,外国人向け,Existing Japanese mirrored friction keyword,currently_used_for_japanese_friction,,,,
cross_language_tourism_side_project,Japanese,Google reviews / official survey text,friction,language_information_gap,Language Information Gap,外国人対応,Existing Japanese mirrored friction keyword,currently_used_for_japanese_friction,,,,
cross_language_tourism_side_project,Japanese,Google reviews / official survey text,friction,staff_communication,Staff Communication,接客が悪,Existing Japanese mirrored friction keyword,currently_used_for_japanese_friction,,,,
cross_language_tourism_side_project,Japanese,Google reviews / official survey text,friction,staff_communication,Staff Communication,接客に不満,Existing Japanese mirrored friction keyword,currently_used_for_japanese_friction,,,,
cross_language_tourism_side_project,Japanese,Google reviews / official survey text,friction,staff_communication,Staff Communication,対応が悪,Existing Japanese mirrored friction keyword,currently_used_for_japanese_friction,,,,
cross_language_tourism_side_project,Japanese,Google reviews / official survey text,friction,staff_communication,Staff Communication,スタッフの対応,Existing Japanese mirrored friction keyword,currently_used_for_japanese_friction,,,,
cross_language_tourism_side_project,Japanese,Google reviews / official survey text,friction,staff_communication,Staff Communication,店員の対応,Existing Japanese mirrored friction keyword,currently_used_for_japanese_friction,,,,
cross_language_tourism_side_project,Japanese,Google reviews / official survey text,friction,staff_communication,Staff Communication,職員の対応,Existing Japanese mirrored friction keyword,currently_used_for_japanese_friction,,,,
cross_language_tourism_side_project,Japanese,Google reviews / official survey text,friction,staff_communication,Staff Communication,説明不足,Existing Japanese mirrored friction keyword,currently_used_for_japanese_friction,,,,
cross_language_tourism_side_project,Japanese,Google reviews / official survey text,friction,staff_communication,Staff Communication,不親切,Existing Japanese mirrored friction keyword,currently_used_for_japanese_friction,,,,
cross_language_tourism_side_project,Japanese,Google reviews / official survey text,friction,staff_communication,Staff Communication,態度が悪,Existing Japanese mirrored friction keyword,currently_used_for_japanese_friction,,,,
cross_language_tourism_side_project,Japanese,Google reviews / official survey text,friction,staff_communication,Staff Communication,案内不足,Existing Japanese mirrored friction keyword,currently_used_for_japanese_friction,,,,
cross_language_tourism_side_project,Japanese,Google reviews / official survey text,friction,booking_ticketing,Booking / Ticketing,予約でき,Existing Japanese mirrored friction keyword,currently_used_for_japanese_friction,,,,
cross_language_tourism_side_project,Japanese,Google reviews / official survey text,friction,booking_ticketing,Booking / Ticketing,予約が取れ,Existing Japanese mirrored friction keyword,currently_used_for_japanese_friction,,,,
cross_language_tourism_side_project,Japanese,Google reviews / official survey text,friction,booking_ticketing,Booking / Ticketing,予約が必要,Existing Japanese mirrored friction keyword,currently_used_for_japanese_friction,,,,
cross_language_tourism_side_project,Japanese,Google reviews / official survey text,friction,booking_ticketing,Booking / Ticketing,チケットが買え,Existing Japanese mirrored friction keyword,currently_used_for_japanese_friction,,,,
cross_language_tourism_side_project,Japanese,Google reviews / official survey text,friction,booking_ticketing,Booking / Ticketing,入場券が買え,Existing Japanese mirrored friction keyword,currently_used_for_japanese_friction,,,,
cross_language_tourism_side_project,Japanese,Google reviews / official survey text,friction,booking_ticketing,Booking / Ticketing,売り切れ,Existing Japanese mirrored friction keyword,currently_used_for_japanese_friction,,,,
cross_language_tourism_side_project,Japanese,Google reviews / official survey text,friction,booking_ticketing,Booking / Ticketing,満席,Existing Japanese mirrored friction keyword,currently_used_for_japanese_friction,,,,
cross_language_tourism_side_project,Japanese,Google reviews / official survey text,friction,booking_ticketing,Booking / Ticketing,事前予約,Existing Japanese mirrored friction keyword,currently_used_for_japanese_friction,,,,
cross_language_tourism_side_project,Japanese,Google reviews / official survey text,friction,booking_ticketing,Booking / Ticketing,現金のみ,Existing Japanese mirrored friction keyword,currently_used_for_japanese_friction,,,,
cross_language_tourism_side_project,Japanese,Google reviews / official survey text,friction,booking_ticketing,Booking / Ticketing,キャッシュレス未対応,Existing Japanese mirrored friction keyword,currently_used_for_japanese_friction,,,,
cross_language_tourism_side_project,Japanese,Google reviews / official survey text,friction,booking_ticketing,Booking / Ticketing,クレジットが使え,Existing Japanese mirrored friction keyword,currently_used_for_japanese_friction,,,,
cross_language_tourism_side_project,Japanese,Google reviews / official survey text,friction,booking_ticketing,Booking / Ticketing,支払いが不便,Existing Japanese mirrored friction keyword,currently_used_for_japanese_friction,,,,
cross_language_tourism_side_project,Japanese,Google reviews / official survey text,friction,booking_ticketing,Booking / Ticketing,決済が不便,Existing Japanese mirrored friction keyword,currently_used_for_japanese_friction,,,,
cross_language_tourism_side_project,Japanese,Google reviews / official survey text,friction,waiting_crowding,Waiting / Crowding,混雑,Existing Japanese mirrored friction keyword,currently_used_for_japanese_friction,,,,
cross_language_tourism_side_project,Japanese,Google reviews / official survey text,friction,waiting_crowding,Waiting / Crowding,混んで,Existing Japanese mirrored friction keyword,currently_used_for_japanese_friction,,,,
cross_language_tourism_side_project,Japanese,Google reviews / official survey text,friction,waiting_crowding,Waiting / Crowding,人が多,Existing Japanese mirrored friction keyword,currently_used_for_japanese_friction,,,,
cross_language_tourism_side_project,Japanese,Google reviews / official survey text,friction,waiting_crowding,Waiting / Crowding,行列,Existing Japanese mirrored friction keyword,currently_used_for_japanese_friction,,,,
cross_language_tourism_side_project,Japanese,Google reviews / official survey text,friction,waiting_crowding,Waiting / Crowding,待ち時間,Existing Japanese mirrored friction keyword,currently_used_for_japanese_friction,,,,
cross_language_tourism_side_project,Japanese,Google reviews / official survey text,friction,waiting_crowding,Waiting / Crowding,待った,Existing Japanese mirrored friction keyword,currently_used_for_japanese_friction,,,,
