analysis,aspect,signal_type,segment,n,n_positive,prevalence,prevalence_ci_low,prevalence_ci_high,odds_ratio,or_ci_low,or_ci_high,p_value,p_value_bh_fdr,fdr_significant,opportunity_score,reward_direction,ci_method,underpowered,status,status_reason,multiple_testing_family,command,generated_at,model_n,firth_iterations,fitted_probability_min,fitted_probability_max
A_primary,transport_access,friction,pooled,4956,38,0.007667473769168685,0.005591471111501988,0.01050611174141406,1.1383548534731815,0.48051895941385514,2.696775532034469,0.19988488895308093,0.2767636923965736,False,0.0,,wald_penalized_information,False,ok,firth_fit; not FDR-significant so score gated to zero,A_primary,scripts/build_nudge_opportunity_analysis.py,2026-06-25T08:11:52+00:00,4956.0,7.0,0.09870482107003233,0.21192988547679872
A_primary,transport_access,friction,english,919,12,0.013057671381936888,0.0074850811096408044,0.022684195047796826,,,,,,False,,,,False,prevalence_only,adjusted penalty estimated in pooled segment row,,scripts/build_nudge_opportunity_analysis.py,2026-06-25T08:11:52+00:00,,,,
A_primary,transport_access,friction,japanese,4037,26,0.006440426058954669,0.004398982033666938,0.009420282936206753,,,,,,False,,,,False,prevalence_only,adjusted penalty estimated in pooled segment row,,scripts/build_nudge_opportunity_analysis.py,2026-06-25T08:11:52+00:00,,,,
A_primary,wayfinding_signage,friction,pooled,4956,28,0.005649717514124294,0.0039118311247008705,0.008153364772694342,1.8005970160038862,0.7670650393252967,4.226694540653116,0.08110538218939417,0.12463226729283532,False,0.0,,wald_penalized_information,False,ok,firth_fit; not FDR-significant so score gated to zero,A_primary,scripts/build_nudge_opportunity_analysis.py,2026-06-25T08:11:52+00:00,4956.0,7.0,0.09714895398221647,0.29961433968630063
A_primary,wayfinding_signage,friction,english,919,2,0.002176278563656148,0.0005970170949851209,0.007900064116249998,,,,,,False,,,,False,prevalence_only,adjusted penalty estimated in pooled segment row,,scripts/build_nudge_opportunity_analysis.py,2026-06-25T08:11:52+00:00,,,,
A_primary,wayfinding_signage,friction,japanese,4037,26,0.006440426058954669,0.004398982033666938,0.009420282936206753,,,,,,False,,,,False,prevalence_only,adjusted penalty estimated in pooled segment row,,scripts/build_nudge_opportunity_analysis.py,2026-06-25T08:11:52+00:00,,,,
A_primary,english_information_gap,friction,pooled,4956,23,0.004640839386602098,0.0030945003881920215,0.006954502031442773,1.215485347835151,0.42281379754347587,3.494220480470541,0.26453324863579575,0.34011417681745165,False,0.0,,wald_penalized_information,False,ok,firth_fit; not FDR-significant so score gated to zero,A_primary,scripts/build_nudge_opportunity_analysis.py,2026-06-25T08:11:52+00:00,4956.0,7.0,0.09796607188923093,0.22516913231595634
A_primary,english_information_gap,friction,english,919,7,0.007616974972796518,0.003694474873126047,0.015638703811210325,,,,,,False,,,,False,prevalence_only,adjusted penalty estimated in pooled segment row,,scripts/build_nudge_opportunity_analysis.py,2026-06-25T08:11:52+00:00,,,,
A_primary,english_information_gap,friction,japanese,4037,16,0.003963339113202873,0.0024411056177189583,0.006428695186382456,,,,,,False,,,,False,prevalence_only,adjusted penalty estimated in pooled segment row,,scripts/build_nudge_opportunity_analysis.py,2026-06-25T08:11:52+00:00,,,,
A_primary,staff_communication,friction,pooled,4956,10,0.0020177562550443904,0.0010963982723262555,0.003710501105131452,5.360606266281441,1.5402784833968666,18.656431192054605,0.007252032678676549,0.018648084030882556,True,0.0,,wald_penalized_information,True,ok,firth_fit; underpowered so score gated to zero,A_primary,scripts/build_nudge_opportunity_analysis.py,2026-06-25T08:11:52+00:00,4956.0,7.0,0.09632885825453585,0.5341382737527435
A_primary,staff_communication,friction,english,919,1,0.001088139281828074,0.0001921091338095305,0.006137752582805335,,,,,,False,,,,True,prevalence_only,adjusted penalty estimated in pooled segment row,,scripts/build_nudge_opportunity_analysis.py,2026-06-25T08:11:52+00:00,,,,
A_primary,staff_communication,friction,japanese,4037,9,0.002229378251176616,0.001173346596024579,0.00423182929203624,,,,,,False,,,,True,prevalence_only,adjusted penalty estimated in pooled segment row,,scripts/build_nudge_opportunity_analysis.py,2026-06-25T08:11:52+00:00,,,,
A_primary,booking_ticketing,friction,pooled,4956,33,0.006658595641646489,0.004745302511636589,0.009336086863519043,1.663546629184339,0.7514028151080462,3.6829611652075673,0.08308817819522354,0.12463226729283532,False,0.0,,wald_penalized_information,False,ok,firth_fit; not FDR-significant so score gated to zero,A_primary,scripts/build_nudge_opportunity_analysis.py,2026-06-25T08:11:52+00:00,4956.0,7.0,0.09745073143246953,0.27977325091815447
A_primary,booking_ticketing,friction,english,919,2,0.002176278563656148,0.0005970170949851209,0.007900064116249998,,,,,,False,,,,False,prevalence_only,adjusted penalty estimated in pooled segment row,,scripts/build_nudge_opportunity_analysis.py,2026-06-25T08:11:52+00:00,,,,
A_primary,booking_ticketing,friction,japanese,4037,31,0.007678969531830567,0.005415136712403023,0.010878860340356806,,,,,,False,,,,False,prevalence_only,adjusted penalty estimated in pooled segment row,,scripts/build_nudge_opportunity_analysis.py,2026-06-25T08:11:52+00:00,,,,
A_primary,waiting_crowding,friction,pooled,4956,210,0.0423728813559322,0.03711008306636285,0.04834455542151159,1.1970833190331533,0.8339540072762085,1.7183303398083114,0.040261185343009806,0.07247013361741765,False,0.0,,wald_penalized_information,False,ok,firth_fit; not FDR-significant so score gated to zero,A_primary,scripts/build_nudge_opportunity_analysis.py,2026-06-25T08:11:52+00:00,4956.0,6.0,0.09631279569619407,0.22852539801891242
A_primary,waiting_crowding,friction,english,919,28,0.030467899891186073,0.021162604404230425,0.04368218366713121,,,,,,False,,,,False,prevalence_only,adjusted penalty estimated in pooled segment row,,scripts/build_nudge_opportunity_analysis.py,2026-06-25T08:11:52+00:00,,,,
A_primary,waiting_crowding,friction,japanese,4037,182,0.04508298241268269,0.039103484032641314,0.05192742192327991,,,,,,False,,,,False,prevalence_only,adjusted penalty estimated in pooled segment row,,scripts/build_nudge_opportunity_analysis.py,2026-06-25T08:11:52+00:00,,,,
A_primary,price_value,friction,pooled,4956,29,0.005851493139628733,0.0040773648165526675,0.00839106977639463,10.11146321617655,4.710032767506516,21.707213817584115,1.109461464879819e-09,1.997030636783674e-08,True,0.013538422682085136,,wald_penalized_information,False,ok,firth_fit,A_primary,scripts/build_nudge_opportunity_analysis.py,2026-06-25T08:11:52+00:00,4956.0,6.0,0.09078743481397346,0.6956176072119667
A_primary,price_value,friction,english,919,17,0.018498367791077257,0.011581085578189827,0.029424288052349055,,,,,,False,,,,False,prevalence_only,adjusted penalty estimated in pooled segment row,,scripts/build_nudge_opportunity_analysis.py,2026-06-25T08:11:52+00:00,,,,
A_primary,price_value,friction,japanese,4037,12,0.002972504334902155,0.001701248716063705,0.005188766421728798,,,,,,False,,,,False,prevalence_only,adjusted penalty estimated in pooled segment row,,scripts/build_nudge_opportunity_analysis.py,2026-06-25T08:11:52+00:00,,,,
A_primary,cleanliness_comfort,friction,pooled,4956,54,0.010895883777239709,0.008360846244896945,0.014188555736852439,2.3526909832164793,1.3139342500088538,4.212657416054744,0.0020292838775430736,0.006087851632629221,True,0.009322079843147162,,wald_penalized_information,False,ok,firth_fit,A_primary,scripts/build_nudge_opportunity_analysis.py,2026-06-25T08:11:52+00:00,4956.0,6.0,0.09609318444154262,0.3697256756991248
A_primary,cleanliness_comfort,friction,english,919,2,0.002176278563656148,0.0005970170949851209,0.007900064116249998,,,,,,False,,,,False,prevalence_only,adjusted penalty estimated in pooled segment row,,scripts/build_nudge_opportunity_analysis.py,2026-06-25T08:11:52+00:00,,,,
A_primary,cleanliness_comfort,friction,japanese,4037,52,0.012880852117909338,0.009836514659508654,0.01685135714137296,,,,,,False,,,,False,prevalence_only,adjusted penalty estimated in pooled segment row,,scripts/build_nudge_opportunity_analysis.py,2026-06-25T08:11:52+00:00,,,,
A_primary,opening_hours_availability,friction,pooled,4956,92,0.018563357546408393,0.01516135953453622,0.022711112878192344,3.6114751032793024,2.350728827558637,5.5483866402199515,9.103154273204654e-09,8.192838845884189e-08,True,0.023837510096263753,,wald_penalized_information,False,ok,firth_fit,A_primary,scripts/build_nudge_opportunity_analysis.py,2026-06-25T08:11:52+00:00,4956.0,7.0,0.0901224023156156,0.4736377661413743
A_primary,opening_hours_availability,friction,english,919,23,0.025027203482045703,0.016733947678282873,0.037274742919977524,,,,,,False,,,,False,prevalence_only,adjusted penalty estimated in pooled segment row,,scripts/build_nudge_opportunity_analysis.py,2026-06-25T08:11:52+00:00,,,,
A_primary,opening_hours_availability,friction,japanese,4037,69,0.017091899925687392,0.01352834572789554,0.021573615154798942,,,,,,False,,,,False,prevalence_only,adjusted penalty estimated in pooled segment row,,scripts/build_nudge_opportunity_analysis.py,2026-06-25T08:11:52+00:00,,,,
A_primary,itinerary_fit_time_cost,friction,pooled,4956,26,0.005246166263115416,0.0035827177424429283,0.007676000763848118,4.2386943259218235,1.9285244409695916,9.316205284683326,0.00032005473479303356,0.001440246306568651,True,0.007576803324320217,,wald_penalized_information,False,ok,firth_fit,A_primary,scripts/build_nudge_opportunity_analysis.py,2026-06-25T08:11:52+00:00,4956.0,7.0,0.09447302059921887,0.5206938395254235
A_primary,itinerary_fit_time_cost,friction,english,919,9,0.009793253536452665,0.005160695120101385,0.01850692255347549,,,,,,False,,,,False,prevalence_only,adjusted penalty estimated in pooled segment row,,scripts/build_nudge_opportunity_analysis.py,2026-06-25T08:11:52+00:00,,,,
A_primary,itinerary_fit_time_cost,friction,japanese,4037,17,0.004211047807778053,0.0026308968408892217,0.00673385037978942,,,,,,False,,,,False,prevalence_only,adjusted penalty estimated in pooled segment row,,scripts/build_nudge_opportunity_analysis.py,2026-06-25T08:11:52+00:00,,,,
A_primary,accessibility_mobility,friction,pooled,4956,240,0.048426150121065374,0.042791530314391056,0.05476026904004588,0.7635681037351865,0.5183123564264037,1.1248742998557761,0.02051785941592489,0.046165183685831,True,0.0,,wald_penalized_information,False,ok,firth_fit; OR not above 1 so score gated to zero,A_primary,scripts/build_nudge_opportunity_analysis.py,2026-06-25T08:11:52+00:00,4956.0,7.0,0.07992237434127335,0.20920497815620115
A_primary,accessibility_mobility,friction,english,919,10,0.01088139281828074,0.005921143171079088,0.01991369399711804,,,,,,False,,,,False,prevalence_only,adjusted penalty estimated in pooled segment row,,scripts/build_nudge_opportunity_analysis.py,2026-06-25T08:11:52+00:00,,,,
A_primary,accessibility_mobility,friction,japanese,4037,230,0.0569729997522913,0.05023501444868751,0.06455331950294063,,,,,,False,,,,False,prevalence_only,adjusted penalty estimated in pooled segment row,,scripts/build_nudge_opportunity_analysis.py,2026-06-25T08:11:52+00:00,,,,
