poi_name,poi_category,city,prefecture,is_fukui,n_reviews,n_reviews_chinese,n_reviews_japanese,n_reviews_english,n_reviews_other,mean_rating,positive_count,positive_share,positive_share_ci_low,positive_share_ci_high,low_confidence,high_volume_threshold,low_volume_threshold,is_high_volume,is_low_volume,dominant_friction_codes,dominant_draw_codes,draw_signal_codes,has_draw_signal,dominant_nudgeable_friction_codes,promote_draw_codes,fix_it_membership_codes,promote_strict_membership_codes,membership_thin_language_blocked,fix_it_elevated_friction_lift_sum,promote_it_draw_prevalence_sum,fix_it_score,promote_it_score,is_fix_it,is_promote_it,is_promote_it_strict,promote_confidence,is_crowding_hotspot,archetype,transport_access_n_positive,transport_access_prevalence,transport_access_ci_low,transport_access_ci_high,transport_access_global_base_prevalence,transport_access_lift,wayfinding_signage_n_positive,wayfinding_signage_prevalence,wayfinding_signage_ci_low,wayfinding_signage_ci_high,wayfinding_signage_global_base_prevalence,wayfinding_signage_lift,english_information_gap_n_positive,english_information_gap_prevalence,english_information_gap_ci_low,english_information_gap_ci_high,english_information_gap_global_base_prevalence,english_information_gap_lift,staff_communication_n_positive,staff_communication_prevalence,staff_communication_ci_low,staff_communication_ci_high,staff_communication_global_base_prevalence,staff_communication_lift,booking_ticketing_n_positive,booking_ticketing_prevalence,booking_ticketing_ci_low,booking_ticketing_ci_high,booking_ticketing_global_base_prevalence,booking_ticketing_lift,waiting_crowding_n_positive,waiting_crowding_prevalence,waiting_crowding_ci_low,waiting_crowding_ci_high,waiting_crowding_global_base_prevalence,waiting_crowding_lift,price_value_n_positive,price_value_prevalence,price_value_ci_low,price_value_ci_high,price_value_global_base_prevalence,price_value_lift,cleanliness_comfort_n_positive,cleanliness_comfort_prevalence,cleanliness_comfort_ci_low,cleanliness_comfort_ci_high,cleanliness_comfort_global_base_prevalence,cleanliness_comfort_lift,opening_hours_availability_n_positive,opening_hours_availability_prevalence,opening_hours_availability_ci_low,opening_hours_availability_ci_high,opening_hours_availability_global_base_prevalence,opening_hours_availability_lift,itinerary_fit_time_cost_n_positive,itinerary_fit_time_cost_prevalence,itinerary_fit_time_cost_ci_low,itinerary_fit_time_cost_ci_high,itinerary_fit_time_cost_global_base_prevalence,itinerary_fit_time_cost_lift,accessibility_mobility_n_positive,accessibility_mobility_prevalence,accessibility_mobility_ci_low,accessibility_mobility_ci_high,accessibility_mobility_global_base_prevalence,accessibility_mobility_lift,food_amenities_gap_n_positive,food_amenities_gap_prevalence,food_amenities_gap_ci_low,food_amenities_gap_ci_high,food_amenities_gap_global_base_prevalence,food_amenities_gap_lift,scenic_value_n_positive,scenic_value_prevalence,scenic_value_ci_low,scenic_value_ci_high,scenic_value_global_base_prevalence,scenic_value_lift,worthwhile_destination_n_positive,worthwhile_destination_prevalence,worthwhile_destination_ci_low,worthwhile_destination_ci_high,worthwhile_destination_global_base_prevalence,worthwhile_destination_lift,friendly_service_n_positive,friendly_service_prevalence,friendly_service_ci_low,friendly_service_ci_high,friendly_service_global_base_prevalence,friendly_service_lift,underpromoted_feature_n_positive,underpromoted_feature_prevalence,underpromoted_feature_ci_low,underpromoted_feature_ci_high,underpromoted_feature_global_base_prevalence,underpromoted_feature_lift,easy_if_guided_n_positive,easy_if_guided_prevalence,easy_if_guided_ci_low,easy_if_guided_ci_high,easy_if_guided_global_base_prevalence,easy_if_guided_lift,good_for_itinerary_bundle_n_positive,good_for_itinerary_bundle_prevalence,good_for_itinerary_bundle_ci_low,good_for_itinerary_bundle_ci_high,good_for_itinerary_bundle_global_base_prevalence,good_for_itinerary_bundle_lift,fix_it_rank,promote_it_rank
Ishikawa Prefectural Noh Theater,other,Kanazawa,Ishikawa,False,16,0,10,4,2,4.5625,15,0.9375,0.7167126242970107,0.9888806552353576,False,100.0,48,False,True,,,scenic_value;worthwhile_destination,True,,,,,False,0.0,0.0,0.0,5.625,False,True,False,low,False,promote-it,0,0.0,0.0,0.1936076805344365,0.009111994698475812,-0.009111994698475812,0,0.0,0.0,0.1936076805344365,0.0054671968190854875,-0.0054671968190854875,0,0.0,0.0,0.1936076805344365,0.003810470510271703,-0.003810470510271703,0,0.0,0.0,0.1936076805344365,0.0016567263088137839,-0.0016567263088137839,0,0.0,0.0,0.1936076805344365,0.0066269052352551355,-0.0066269052352551355,0,0.0,0.0,0.1936076805344365,0.03578528827037773,-0.03578528827037773,0,0.0,0.0,0.1936076805344365,0.005632869449966865,-0.005632869449966865,0,0.0,0.0,0.1936076805344365,0.009774685222001325,-0.009774685222001325,1,0.0625,0.01111934476464252,0.28328737570298945,0.015573227302849569,0.04692677269715043,0,0.0,0.0,0.1936076805344365,0.004804506295559973,-0.004804506295559973,0,0.0,0.0,0.1936076805344365,0.04009277667329357,-0.04009277667329357,0,0.0,0.0,0.1936076805344365,0.0006626905235255136,-0.0006626905235255136,1,0.0625,0.01111934476464252,0.28328737570298945,0.052186878727634195,0.010313121272365805,1,0.0625,0.01111934476464252,0.28328737570298945,0.02468522200132538,0.03781477799867462,0,0.0,0.0,0.1936076805344365,0.003810470510271703,-0.003810470510271703,0,0.0,0.0,0.1936076805344365,0.0016567263088137839,-0.0016567263088137839,0,0.0,0.0,0.1936076805344365,0.0019880715705765406,-0.0019880715705765406,0,0.0,0.0,0.1936076805344365,0.0001656726308813784,-0.0001656726308813784,,1.0
Asahi Town Folk Museum,museum_cultural,Toyama,Toyama,False,12,0,12,0,0,4.5,11,0.9166666666666666,0.646120088858883,0.9851349055950829,False,100.0,48,False,True,,,,False,,,,,False,0.0,0.0,0.0,3.6666666666666665,False,True,False,low,False,promote-it,0,0.0,2.7755575615628914e-17,0.24249400665524085,0.009111994698475812,-0.009111994698475812,0,0.0,2.7755575615628914e-17,0.24249400665524085,0.0054671968190854875,-0.0054671968190854875,0,0.0,2.7755575615628914e-17,0.24249400665524085,0.003810470510271703,-0.003810470510271703,0,0.0,2.7755575615628914e-17,0.24249400665524085,0.0016567263088137839,-0.0016567263088137839,0,0.0,2.7755575615628914e-17,0.24249400665524085,0.0066269052352551355,-0.0066269052352551355,0,0.0,2.7755575615628914e-17,0.24249400665524085,0.03578528827037773,-0.03578528827037773,0,0.0,2.7755575615628914e-17,0.24249400665524085,0.005632869449966865,-0.005632869449966865,0,0.0,2.7755575615628914e-17,0.24249400665524085,0.009774685222001325,-0.009774685222001325,0,0.0,2.7755575615628914e-17,0.24249400665524085,0.015573227302849569,-0.015573227302849569,0,0.0,2.7755575615628914e-17,0.24249400665524085,0.004804506295559973,-0.004804506295559973,0,0.0,2.7755575615628914e-17,0.24249400665524085,0.04009277667329357,-0.04009277667329357,0,0.0,2.7755575615628914e-17,0.24249400665524085,0.0006626905235255136,-0.0006626905235255136,0,0.0,2.7755575615628914e-17,0.24249400665524085,0.052186878727634195,-0.052186878727634195,0,0.0,2.7755575615628914e-17,0.24249400665524085,0.02468522200132538,-0.02468522200132538,0,0.0,2.7755575615628914e-17,0.24249400665524085,0.003810470510271703,-0.003810470510271703,0,0.0,2.7755575615628914e-17,0.24249400665524085,0.0016567263088137839,-0.0016567263088137839,0,0.0,2.7755575615628914e-17,0.24249400665524085,0.0019880715705765406,-0.0019880715705765406,0,0.0,2.7755575615628914e-17,0.24249400665524085,0.0001656726308813784,-0.0001656726308813784,,2.0
Kitamaebune Sakai Port,museum_cultural,Fukui,Fukui,True,31,0,28,1,2,4.451612903225806,28,0.9032258064516129,0.7510006155660716,0.9665353558368026,False,100.0,48,False,True,wayfinding_signage;english_information_gap;itinerary_fit_time_cost;accessibility_mobility,,worthwhile_destination,True,wayfinding_signage;english_information_gap;itinerary_fit_time_cost,,,,True,0.08269201992346993,0.0,0.0,2.7970863683662848,False,True,False,moderate,False,promote-it,0,0.0,0.0,0.11025539546043596,0.009111994698475812,-0.009111994698475812,1,0.03225806451612903,0.005717221525416816,0.16194105164724906,0.0054671968190854875,0.026790867697043544,1,0.03225806451612903,0.005717221525416816,0.16194105164724906,0.003810470510271703,0.028447594005857328,0,0.0,0.0,0.11025539546043596,0.0016567263088137839,-0.0016567263088137839,0,0.0,0.0,0.11025539546043596,0.0066269052352551355,-0.0066269052352551355,2,0.06451612903225806,0.017874783521914572,0.20718636736298127,0.03578528827037773,0.02873084076188033,0,0.0,0.0,0.11025539546043596,0.005632869449966865,-0.005632869449966865,0,0.0,0.0,0.11025539546043596,0.009774685222001325,-0.009774685222001325,0,0.0,0.0,0.11025539546043596,0.015573227302849569,-0.015573227302849569,1,0.03225806451612903,0.005717221525416816,0.16194105164724906,0.004804506295559973,0.02745355822056906,5,0.16129032258064516,0.070926244433653,0.3263435395879326,0.04009277667329357,0.12119754590735159,0,0.0,0.0,0.11025539546043596,0.0006626905235255136,-0.0006626905235255136,1,0.03225806451612903,0.005717221525416816,0.16194105164724906,0.052186878727634195,-0.019928814211505164,1,0.03225806451612903,0.005717221525416816,0.16194105164724906,0.02468522200132538,0.007572842514803651,0,0.0,0.0,0.11025539546043596,0.003810470510271703,-0.003810470510271703,0,0.0,0.0,0.11025539546043596,0.0016567263088137839,-0.0016567263088137839,0,0.0,0.0,0.11025539546043596,0.0019880715705765406,-0.0019880715705765406,0,0.0,0.0,0.11025539546043596,0.0001656726308813784,-0.0001656726308813784,,3.0
Shiinoki Cultural Complex,other,Kanazawa,Ishikawa,False,36,0,30,5,1,4.472222222222222,34,0.9444444444444444,0.8185534279135275,0.9846300133358382,False,100.0,48,False,True,cleanliness_comfort,,scenic_value;worthwhile_destination,True,,,,,False,0.0,0.0,0.0,2.518518518518518,False,True,False,moderate,False,promote-it,0,0.0,0.0,0.09641862859446367,0.009111994698475812,-0.009111994698475812,1,0.027777777777777776,0.0049204071398104565,0.14169718653273855,0.0054671968190854875,0.02231058095869229,0,0.0,0.0,0.09641862859446367,0.003810470510271703,-0.003810470510271703,0,0.0,0.0,0.09641862859446367,0.0016567263088137839,-0.0016567263088137839,0,0.0,0.0,0.09641862859446367,0.0066269052352551355,-0.0066269052352551355,0,0.0,0.0,0.09641862859446367,0.03578528827037773,-0.03578528827037773,0,0.0,0.0,0.09641862859446367,0.005632869449966865,-0.005632869449966865,2,0.05555555555555555,0.015369986664161853,0.18144657208647252,0.009774685222001325,0.04578087033355423,1,0.027777777777777776,0.0049204071398104565,0.14169718653273855,0.015573227302849569,0.012204550474928208,0,0.0,0.0,0.09641862859446367,0.004804506295559973,-0.004804506295559973,2,0.05555555555555555,0.015369986664161853,0.18144657208647252,0.04009277667329357,0.015462778882261982,0,0.0,0.0,0.09641862859446367,0.0006626905235255136,-0.0006626905235255136,2,0.05555555555555555,0.015369986664161853,0.18144657208647252,0.052186878727634195,0.0033686768279213575,1,0.027777777777777776,0.0049204071398104565,0.14169718653273855,0.02468522200132538,0.0030925557764523957,0,0.0,0.0,0.09641862859446367,0.003810470510271703,-0.003810470510271703,0,0.0,0.0,0.09641862859446367,0.0016567263088137839,-0.0016567263088137839,0,0.0,0.0,0.09641862859446367,0.0019880715705765406,-0.0019880715705765406,0,0.0,0.0,0.09641862859446367,0.0001656726308813784,-0.0001656726308813784,,4.0
Asuwa River Promenade,nature_scenic,Fukui,Fukui,True,48,6,30,5,7,4.604166666666667,46,0.9583333333333334,0.8602434412954456,0.9884981065106133,False,100.0,48,False,True,,scenic_value,scenic_value;worthwhile_destination,True,,scenic_value,,,True,0.0,0.16666666666666666,0.0,1.9166666666666667,False,True,False,moderate,False,promote-it,0,0.0,6.938893903907228e-18,0.07410012966611748,0.009111994698475812,-0.009111994698475812,1,0.020833333333333332,0.003687110977510649,0.10899217995251861,0.0054671968190854875,0.015366136514247845,0,0.0,6.938893903907228e-18,0.07410012966611748,0.003810470510271703,-0.003810470510271703,0,0.0,6.938893903907228e-18,0.07410012966611748,0.0016567263088137839,-0.0016567263088137839,0,0.0,6.938893903907228e-18,0.07410012966611748,0.0066269052352551355,-0.0066269052352551355,3,0.0625,0.021483232908389285,0.1683543805494635,0.03578528827037773,0.026714711729622267,0,0.0,6.938893903907228e-18,0.07410012966611748,0.005632869449966865,-0.005632869449966865,0,0.0,6.938893903907228e-18,0.07410012966611748,0.009774685222001325,-0.009774685222001325,0,0.0,6.938893903907228e-18,0.07410012966611748,0.015573227302849569,-0.015573227302849569,0,0.0,6.938893903907228e-18,0.07410012966611748,0.004804506295559973,-0.004804506295559973,1,0.020833333333333332,0.003687110977510649,0.10899217995251861,0.04009277667329357,-0.019259443339960238,0,0.0,6.938893903907228e-18,0.07410012966611748,0.0006626905235255136,-0.0006626905235255136,8,0.16666666666666666,0.08695513576485567,0.295778284012556,0.052186878727634195,0.11447978793903246,3,0.0625,0.021483232908389285,0.1683543805494635,0.02468522200132538,0.03781477799867462,0,0.0,6.938893903907228e-18,0.07410012966611748,0.003810470510271703,-0.003810470510271703,0,0.0,6.938893903907228e-18,0.07410012966611748,0.0016567263088137839,-0.0016567263088137839,0,0.0,6.938893903907228e-18,0.07410012966611748,0.0019880715705765406,-0.0019880715705765406,0,0.0,6.938893903907228e-18,0.07410012966611748,0.0001656726308813784,-0.0001656726308813784,,5.0
Takaoka Okumura Memorial Museum,museum_cultural,Toyama,Toyama,False,40,3,29,2,6,4.425,35,0.875,0.738878801611489,0.945404997490546,False,100.0,48,False,True,,,,False,,,,,False,0.0,0.0,0.0,1.05,False,True,False,moderate,False,promote-it,0,0.0,0.0,0.08762160119728664,0.009111994698475812,-0.009111994698475812,0,0.0,0.0,0.08762160119728664,0.0054671968190854875,-0.0054671968190854875,0,0.0,0.0,0.08762160119728664,0.003810470510271703,-0.003810470510271703,0,0.0,0.0,0.08762160119728664,0.0016567263088137839,-0.0016567263088137839,0,0.0,0.0,0.08762160119728664,0.0066269052352551355,-0.0066269052352551355,0,0.0,0.0,0.08762160119728664,0.03578528827037773,-0.03578528827037773,0,0.0,0.0,0.08762160119728664,0.005632869449966865,-0.005632869449966865,1,0.025,0.0044268315026814095,0.1288136896347409,0.009774685222001325,0.015225314777998676,0,0.0,0.0,0.08762160119728664,0.015573227302849569,-0.015573227302849569,0,0.0,0.0,0.08762160119728664,0.004804506295559973,-0.004804506295559973,0,0.0,0.0,0.08762160119728664,0.04009277667329357,-0.04009277667329357,0,0.0,0.0,0.08762160119728664,0.0006626905235255136,-0.0006626905235255136,0,0.0,0.0,0.08762160119728664,0.052186878727634195,-0.052186878727634195,0,0.0,0.0,0.08762160119728664,0.02468522200132538,-0.02468522200132538,0,0.0,0.0,0.08762160119728664,0.003810470510271703,-0.003810470510271703,0,0.0,0.0,0.08762160119728664,0.0016567263088137839,-0.0016567263088137839,0,0.0,0.0,0.08762160119728664,0.0019880715705765406,-0.0019880715705765406,0,0.0,0.0,0.08762160119728664,0.0001656726308813784,-0.0001656726308813784,,6.0
Kutaniyaki Art Museum,museum_cultural,Kanazawa,Ishikawa,False,46,3,43,0,0,4.434782608695652,44,0.9565217391304348,0.8546774097378094,0.9879945544014435,False,100.0,48,False,True,opening_hours_availability,,,False,opening_hours_availability,,opening_hours_availability,,False,0.04964416400149826,0.0,0.0,0.998109640831758,False,True,False,moderate,False,promote-it,1,0.021739130434782608,0.0038478542580502872,0.11335294521511355,0.009111994698475812,0.012627135736306796,0,0.0,0.0,0.07707356308558039,0.0054671968190854875,-0.0054671968190854875,0,0.0,0.0,0.07707356308558039,0.003810470510271703,-0.003810470510271703,0,0.0,0.0,0.07707356308558039,0.0016567263088137839,-0.0016567263088137839,0,0.0,0.0,0.07707356308558039,0.0066269052352551355,-0.0066269052352551355,0,0.0,0.0,0.07707356308558039,0.03578528827037773,-0.03578528827037773,0,0.0,0.0,0.07707356308558039,0.005632869449966865,-0.005632869449966865,0,0.0,0.0,0.07707356308558039,0.009774685222001325,-0.009774685222001325,3,0.06521739130434782,0.022427861429288584,0.17502741081904216,0.015573227302849569,0.04964416400149826,0,0.0,0.0,0.07707356308558039,0.004804506295559973,-0.004804506295559973,1,0.021739130434782608,0.0038478542580502872,0.11335294521511355,0.04009277667329357,-0.018353646238510962,0,0.0,0.0,0.07707356308558039,0.0006626905235255136,-0.0006626905235255136,0,0.0,0.0,0.07707356308558039,0.052186878727634195,-0.052186878727634195,0,0.0,0.0,0.07707356308558039,0.02468522200132538,-0.02468522200132538,0,0.0,0.0,0.07707356308558039,0.003810470510271703,-0.003810470510271703,0,0.0,0.0,0.07707356308558039,0.0016567263088137839,-0.0016567263088137839,0,0.0,0.0,0.07707356308558039,0.0019880715705765406,-0.0019880715705765406,0,0.0,0.0,0.07707356308558039,0.0001656726308813784,-0.0001656726308813784,,7.0
Myoryuji Ninja Temple,temple_shrine,Kanazawa,Ishikawa,False,105,3,46,35,21,4.380952380952381,88,0.8380952380952381,0.7559378330310743,0.8963871244740037,False,100.0,48,True,False,english_information_gap;booking_ticketing,worthwhile_destination;underpromoted_feature;easy_if_guided,worthwhile_destination;underpromoted_feature;easy_if_guided,True,english_information_gap;booking_ticketing,worthwhile_destination;underpromoted_feature,english_information_gap;booking_ticketing,worthwhile_destination,True,0.11337214806399697,0.21904761904761905,11.904075546719682,0.0,True,False,False,moderate,False,fix-it,2,0.01904761904761905,0.0052391820659629385,0.06680559669441896,0.009111994698475812,0.009935624349143237,2,0.01904761904761905,0.0052391820659629385,0.06680559669441896,0.0054671968190854875,0.013580422228533562,6,0.05714285714285714,0.026449634437321692,0.11909654798560422,0.003810470510271703,0.05333238663258544,0,0.0,0.0,0.035294076929109894,0.0016567263088137839,-0.0016567263088137839,7,0.06666666666666667,0.03266588465602071,0.1312556486825412,0.0066269052352551355,0.06003976143141153,1,0.009523809523809525,0.0016831692328561944,0.0519862586118897,0.03578528827037773,-0.026261478746568208,1,0.009523809523809525,0.0016831692328561944,0.0519862586118897,0.005632869449966865,0.0038909400738426593,0,0.0,0.0,0.035294076929109894,0.009774685222001325,-0.009774685222001325,0,0.0,0.0,0.035294076929109894,0.015573227302849569,-0.015573227302849569,0,0.0,0.0,0.035294076929109894,0.004804506295559973,-0.004804506295559973,6,0.05714285714285714,0.026449634437321692,0.11909654798560422,0.04009277667329357,0.01705008046956357,0,0.0,0.0,0.035294076929109894,0.0006626905235255136,-0.0006626905235255136,2,0.01904761904761905,0.0052391820659629385,0.06680559669441896,0.052186878727634195,-0.033139259680015146,13,0.12380952380952381,0.0738016422092698,0.20037199662310815,0.02468522200132538,0.09912430180819844,0,0.0,0.0,0.035294076929109894,0.003810470510271703,-0.003810470510271703,2,0.01904761904761905,0.0052391820659629385,0.06680559669441896,0.0016567263088137839,0.017390892738805265,8,0.0761904761904762,0.03911065243076895,0.14318623182342896,0.0019880715705765406,0.07420240461989966,0,0.0,0.0,0.035294076929109894,0.0001656726308813784,-0.0001656726308813784,1.0,
21st Century Museum of Contemporary Art,museum_cultural,Kanazawa,Ishikawa,False,105,4,52,30,19,3.533333333333333,61,0.580952380952381,0.4853569524888766,0.6708335302940296,False,100.0,48,True,False,staff_communication;booking_ticketing;waiting_crowding;opening_hours_availability,friendly_service,scenic_value;worthwhile_destination;friendly_service,True,booking_ticketing;opening_hours_availability,,booking_ticketing;opening_hours_availability,,False,0.09208558174760959,0.01904761904761905,9.668986083499007,0.0,True,False,False,moderate,True,fix-it,0,0.0,0.0,0.035294076929109894,0.009111994698475812,-0.009111994698475812,0,0.0,0.0,0.035294076929109894,0.0054671968190854875,-0.0054671968190854875,0,0.0,0.0,0.035294076929109894,0.003810470510271703,-0.003810470510271703,1,0.009523809523809525,0.0016831692328561944,0.0519862586118897,0.0016567263088137839,0.00786708321499574,5,0.047619047619047616,0.020509165674361972,0.10666166583292791,0.0066269052352551355,0.04099214238379248,8,0.0761904761904762,0.03911065243076895,0.14318623182342896,0.03578528827037773,0.040405187920098465,0,0.0,0.0,0.035294076929109894,0.005632869449966865,-0.005632869449966865,1,0.009523809523809525,0.0016831692328561944,0.0519862586118897,0.009774685222001325,-0.0002508756981918006,7,0.06666666666666667,0.03266588465602071,0.1312556486825412,0.015573227302849569,0.0510934393638171,0,0.0,0.0,0.035294076929109894,0.004804506295559973,-0.004804506295559973,1,0.009523809523809525,0.0016831692328561944,0.0519862586118897,0.04009277667329357,-0.030568967149484046,0,0.0,0.0,0.035294076929109894,0.0006626905235255136,-0.0006626905235255136,7,0.06666666666666667,0.03266588465602071,0.1312556486825412,0.052186878727634195,0.01447978793903247,3,0.02857142857142857,0.00976383903870233,0.08065629063731557,0.02468522200132538,0.00388620657010319,2,0.01904761904761905,0.0052391820659629385,0.06680559669441896,0.003810470510271703,0.015237148537347346,0,0.0,0.0,0.035294076929109894,0.0016567263088137839,-0.0016567263088137839,0,0.0,0.0,0.035294076929109894,0.0019880715705765406,-0.0019880715705765406,0,0.0,0.0,0.035294076929109894,0.0001656726308813784,-0.0001656726308813784,2.0,
Echizen Daibutsu,temple_shrine,Fukui,Fukui,True,103,1,66,23,13,4.601941747572815,92,0.8932038834951457,0.8188200043472509,0.9393126615117735,False,100.0,48,True,False,transport_access;opening_hours_availability;food_amenities_gap,scenic_value;worthwhile_destination;underpromoted_feature,scenic_value;worthwhile_destination;underpromoted_feature,True,transport_access;opening_hours_availability,scenic_value;worthwhile_destination;underpromoted_feature,transport_access;opening_hours_availability,scenic_value;worthwhile_destination,True,0.09181963236760665,0.21359223300970873,9.457422133863485,0.0,True,False,False,moderate,False,fix-it,4,0.038834951456310676,0.01520398954826923,0.09562806901213441,0.009111994698475812,0.029722956757834866,1,0.009708737864077669,0.0017158914790501578,0.052958191832536874,0.0054671968190854875,0.004241541044992182,1,0.009708737864077669,0.0017158914790501578,0.052958191832536874,0.003810470510271703,0.005898267353805966,0,0.0,0.0,0.03595475822864816,0.0016567263088137839,-0.0016567263088137839,2,0.019417475728155338,0.0053412252741783794,0.06805218312034753,0.0066269052352551355,0.012790570492900203,5,0.04854368932038835,0.020910814092532592,0.10864056955080992,0.03578528827037773,0.012758401050010616,0,0.0,0.0,0.03595475822864816,0.005632869449966865,-0.005632869449966865,1,0.009708737864077669,0.0017158914790501578,0.052958191832536874,0.009774685222001325,-6.594735792365622e-05,8,0.07766990291262135,0.039880356912350534,0.14582900197980858,0.015573227302849569,0.062096675609771786,1,0.009708737864077669,0.0017158914790501578,0.052958191832536874,0.004804506295559973,0.004904231568517696,6,0.05825242718446602,0.02696849732835717,0.12130221139792423,0.04009277667329357,0.01815965051117245,1,0.009708737864077669,0.0017158914790501578,0.052958191832536874,0.0006626905235255136,0.009046047340552156,11,0.10679611650485436,0.06068733848822654,0.1811799956527492,0.052186878727634195,0.05460923777722017,9,0.08737864077669903,0.04665122122451078,0.15777746275058724,0.02468522200132538,0.06269341877537365,0,0.0,0.0,0.03595475822864816,0.003810470510271703,-0.003810470510271703,2,0.019417475728155338,0.0053412252741783794,0.06805218312034753,0.0016567263088137839,0.017760749419341554,0,0.0,0.0,0.03595475822864816,0.0019880715705765406,-0.0019880715705765406,0,0.0,0.0,0.03595475822864816,0.0001656726308813784,-0.0001656726308813784,3.0,
